,y,Ygroup,gender,level_of_education,enrollment_mode,ageCategory,ad1,ad2,ad3,ad4,sd1,sd2,sd3,sd4,de1,de2,de3,de4,score1,score2,score3,score4,y2,y3
0,-2.0,C,None,None,audit,Null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.0,0,0,-1.9,-2.0
1,-2.0,C,None,None,audit,Null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.0,0,0,-1.9,-2.0
2,-1.9,B,m,m,audit,1970-1985,1.0,0.9,1.0,0.8,0.875,1.0,1.0,0.8333333333333334,0.8,1.0,1.0,0.75,1.0,0.0,0,0,-1.9,-2.0
3,-1.9,B,None,None,audit,Null,1.0,1.0,1.0,0.8666666666666668,1.0,0.6666666666666666,0.875,1.0,1.0,1.0,0.9166666666666666,0.8333333333333333,1.0,0.0,0,0,-1.9,-2.0
4,-2.0,C,None,None,audit,Null,1.0,0.9,0.8,0.7666666666666666,0.9375,0.5,0.875,1.0,1.0,1.0,0.9166666666666666,1.0,0.5,0.0,0,0,-0.95,-2.0
5,-1.9,B,m,b,audit,Null,0.9166666666666666,1.0,0.9,0.5666666666666667,0.8541666666666666,0.6666666666666666,0.875,1.0,1.0,0.2,0.0,0.0,1.0,0.0,0,0,-1.9,-0.0
6,-0.0,C,m,b,audit,Null,0.9166666666666666,1.0,0.9,0.5666666666666667,0.8541666666666666,0.6666666666666666,0.875,1.0,1.0,0.2,0.0,0.0,1.0,0.0,0,0,-1.9,-0.0
7,-1.9,B,m,b,audit,1990-1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-1.9,-2.0
8,-1.9,B,None,None,audit,Null,1.0,0.5666666666666667,0.7,0.6,1.0,1.0,0.5,0.8333333333333334,0.5,0.2,0.8333333333333334,0.16666666666666666,0.0,0.0,0,0,-1.9,-2.0
9,-2.0,C,None,None,verified,Null,1.0,0.8,0.8,0.9,0.875,1.0,0.875,1.0,0.8,0.9,1.0,0.8125,1.0,0.0,0,0,-1.9,-2.0
10,-0.0,C,f,b,verified,1970-1985,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,0.875,1.0,1.0,0.7,1.0,0.7083333333333333,0.5,0.0,0,0,-1.9,-0.0
11,-0.0,C,f,b,audit,1970-1985,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,0.875,1.0,1.0,0.7,1.0,0.7083333333333333,0.5,0.0,0,0,-1.9,-0.0
12,-2.0,C,m,b,audit,1990-1995,0.9166666666666666,1.0,0.44000000000000006,0.8,1.0,0.5,1.0,1.0,1.0,0.8,0.8333333333333334,1.0,1.0,0.0,0,0,-1.9,-2.0
13,-2.0,C,m,b,audit,1990-1995,0.9166666666666666,1.0,0.44000000000000006,0.8,1.0,0.5,1.0,1.0,1.0,0.8,0.8333333333333334,1.0,1.0,0.0,0,0,-1.9,-2.0
14,-0.95,B,None,None,audit,Null,0.9166666666666666,0.8,0.8,0.8,1.0,0.6666666666666666,1.0,1.0,0.8,0.75,0.8333333333333334,0.875,1.0,0.0,0,0,-0.95,-2.0
15,-0.0,B,None,None,audit,Null,1.0,0.5,0.6,0.0,1.0,0.6666666666666666,0.75,0.3333333333333333,0.8,0.3,0.5,0.0,0.0,0.0,0,0,-0.0,-2.0
